Mobile cellular subscriptions (per 100 people),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Netherlands,76.47250632,75.40850689,81.79599719,91.21674572,97.10859377,105.6053444,117.2805056,124.987404,121.6780838,115.4458187,
Netherlands Antilles,,,,,,,,,,,
New Caledonia,31.45557954,36.40649674,43.45178437,51.23824024,58.10325428,65.96418358,73.80946402,80.8831218,84.89064399,88.01809702,89.20554439
New Zealand,58.5641044,61.81255928,64.6393762,74.20700002,85.3870367,90.85730302,100.4429102,107.9992117,108.7301521,107.8263131,109.1854156
Ngorno-Karabakh,,,,,,,,,,,
Nicaragua,3.195196397,4.545221165,8.82530415,13.7905591,20.63624009,33.3159371,44.97549632,55.1496679,58.57142357,68.45430925,82.15224591
Niger,0.018800626,0.491543699,0.679673308,1.374207028,2.492349478,3.588373314,6.453619771,13.13236734,17.35877229,24.53328733,27.00770814
Nigeria,0.210300765,1.208519162,2.366830773,6.706192587,13.29320269,22.54949159,27.48908131,41.80678114,48.23561006,55.10417598,58.57504542
Niue,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,
Northern Mariana Islands,19.07955597,24.69557448,26.94305767,29.93099819,,,,,,,
Norway,79.5976387,83.56117902,89.0794444,98.64191464,102.8368277,104.2861959,106.684306,109.044815,110.8737646,115.6777513,116.7548724
Oman,14.17181949,20.10531188,25.42844141,33.90101315,54.87629193,72.99483663,97.61099053,122.0854824,146.3995788,165.5432382,168.9741036
Pakistan,0.503264119,1.129291367,1.570067682,3.222703627,8.050153316,21.36452656,38.22340855,52.56722111,55.33439706,57.13688061,61.61096141
Palau,,12.55811577,19.92080414,19.81517952,30.39786999,41.70706112,53.14146535,57.67747676,62.63639045,70.88706526,74.94298607
Panama,15.77160858,17.13339609,22.15298674,39.59648884,54.00144087,66.00079585,89.8516507,114.9350049,175.2413775,188.9874375,203.8839769
Papua New Guinea,0.193890247,0.265020196,0.301566647,0.812204161,1.230428598,1.601302564,4.690206396,13.34500283,21.14679487,27.8361615,34.21811396
Paraguay,21.0857473,29.9569663,31.19136242,30.22459942,31.99489438,53.8036084,76.71408226,92.94597224,88.5956273,91.73156664,99.40262991
Peru,6.837216967,8.679488046,10.88685454,15.02295368,20.25981639,32.72760118,54.73693214,73.60989776,85.86901405,100.1328805,110.4136635
Philippines,15.39828669,19.07840957,27.35261712,39.23894528,40.65511117,49.20884301,64.6848428,75.54041897,82.42540791,85.66905679,91.99208388
Pitcairn,,,,,,,,,,,
Poland,26.14448657,36.35440837,45.55514218,60.50028534,76.4217488,96.26705873,108.376622,114.9349364,117.1438859,122.6651202,128.4630552
Portugal,76.85669104,83.17938272,95.57508603,100.6172229,108.5705509,115.5876978,127.0490975,132.1081296,110.6773606,114.376794,114.9203113
Puerto Rico,42.6529335,43.19428501,44.93416555,48.72745903,52.70947592,58.27692742,64.57506286,67.66692888,72.25696243,78.2603616,82.98893133
Qatar,29.26189486,42.72901904,57.61820964,68.56404147,87.30514284,94.01401972,107.3005079,102.3943097,121.9684997,124.3133785,123.114413
Reunion,,,,,,,,,,,
Romania,17.39870942,23.21858093,32.10854927,46.76248362,61.33700145,73.6736746,94.24859064,113.3419029,116.5424375,113.5603588,109.1596364
Russia,5.302686527,12.10060434,24.9413432,51.08707907,83.42419677,104.9919435,119.4742021,139.3671554,161.1162887,166.2648829,179.3087029
Rwanda,0.768596972,0.947417419,1.475751646,1.52359885,2.423219033,3.327904763,6.540703078,13.22095998,23.55918158,33.40323164,40.63067089
St. Barthélemy,,,,,,,,,,,
St. Helena,,,,,,,,,,,
St. Kitts and Nevis,4.497269515,10.56926036,45.90697577,59.74084832,103.7154536,102.3870229,127.8366862,145.7868577,145.8880816,152.6659288,
St. Lucia,1.699620418,8.918257099,61.09037055,61.72424541,63.92739374,63.23277566,87.08891956,102.5910775,110.0198309,113.7404098,122.9976597
St. Martin,,,,,,,,,,,
St. Vincent and the Grenadines,6.937872151,9.229773463,58.06061613,66.31910543,64.93494552,80.4586937,101.3121218,119.1613695,110.84022,120.5409163,120.5221049
St.-Pierre-et-Miquelon,,,,,,,,,,,
Samoa,1.407301078,1.512706737,5.861304782,8.903777984,13.31580086,25.17066262,47.44120876,68.20344427,82.78463386,91.43493863,
San Marino,57.56090477,59.32179392,58.24975011,57.48267277,56.59879212,56.60623027,56.43886864,78.21655234,95.50368315,96.99689224,111.7535844
Sao Tome and Principe,0,1.358388046,3.255245275,5.152650172,7.831767373,11.88875266,19.12735684,31.56106899,39.38098022,62.11116284,68.26127719
Saudi Arabia,12.22653438,23.33293668,32.40845243,39.52725122,58.91649955,79.43729043,111.3543131,137.5797633,167.3474553,187.8614596,191.2426942
Senegal,3.092693077,5.521683008,7.597847573,10.59711287,15.91354526,26.70316411,31.64192825,45.72051212,57.004782,67.10551333,73.25495968
